Event_type,lat,lon,intensity,year,month,day,hour,dayofweek,is_weekend,cluster
Wildfire,35.664722,-96.503611,6.513230110912307,2026,1,1,0,3,0,4872
Wildfire,34.0369444,-97.445,6.621405651764134,2026,1,1,0,3,0,-1
Wildfire,34.7436111,-99.4272222,8.204398418149381,2026,1,1,0,3,0,-1
Wildfire,35.46241,-102.24943,7.313886831633462,2026,1,1,0,3,0,-1
Wildfire,45.1172222,-101.2283333,6.899823908655857,2026,1,1,0,3,0,-1
Fire,33.211278,-86.105806,7.382124365737512,2026,1,1,0,3,0,4770
Wildfire,40.871877,-100.432885,11.768373560088287,2026,1,1,0,3,0,-1
Wildfire,36.72568,-96.16634,6.375024819828097,2026,1,1,0,3,0,-1
Fire,34.265139,-87.302722,7.080867896690782,2026,1,1,0,3,0,4770
Wildfire,36.589167,-96.121944,7.581209826196346,2026,1,1,0,3,0,-1
Fire,30.562583,-95.606283,6.429719478039138,2026,1,1,0,3,0,4769
Fire,34.778867,-94.774167,6.583409222158765,2026,1,1,0,3,0,4769
Fire,30.557617,-95.680217,7.894318063841624,2026,1,1,0,3,0,4769
Fire,34.441389,-93.951389,8.612503371220562,2026,1,1,0,3,0,4769
Fire,35.683333,-93.25,7.508787170634276,2026,1,1,0,3,0,4769
Fire,34.814723,-93.850334,7.375255778009754,2026,1,1,0,3,0,4769
Fire,33.25,-86.0961,6.421622267806518,2026,1,1,0,3,0,4770
Fire,37.86162,-89.517,6.2166061010848646,2026,1,1,0,3,0,4769
Fire,34.928513,-93.689228,8.030409562130485,2026,1,1,0,3,0,4769
Fire,30.984533,-92.960167,7.332369205929062,2026,1,1,0,3,0,4769
Fire,34.924722,-83.110833,6.55250788703459,2026,1,1,0,3,0,4770
Wildfire,33.62975,-82.116889,6.450470422144176,2026,1,1,0,3,0,-1
Fire,37.466167,-91.037117,6.565264970035361,2026,1,1,0,3,0,4769
Fire,37.41545,-91.225133,7.575584651557793,2026,1,1,0,3,0,4769
